Humidity(%rH),Pressure(mb),Temperature(F)
54.24345,995.19971,70.01776
54.0985,995.20337,69.98441
53.74214,995.20972,69.95105
53.79348,995.20654,69.98441
53.9324,995.19849,70.05112
53.69986,995.17773,70.11783
53.9626,995.17334,69.85098
53.86596,995.17505,69.95105
53.93844,995.17139,70.05112
53.85086,995.1709,69.85098
54.0381,995.17334,70.08447
53.88408,995.18091,69.75091
53.96562,995.17749,70.11783
53.872,995.17725,69.95105
53.92334,995.18237,70.01776
53.93844,995.18433,70.08447
53.90824,995.19482,69.95105
53.70288,995.20264,70.01776
53.89314,995.21045,69.81762
53.83576,995.21509,70.08447
53.76932,995.22241,70.05112
53.83274,995.23438,70.05112
53.92032,995.23438,70.15119
54.25252,995.2334,70.18455
54.3401,995.23389,70.11783
54.46693,995.22437,70.18455
54.48203,995.21948,69.98441
54.64511,995.22144,70.05112
54.26762,995.22485,70.31797
54.39445,995.22632,70.55147
54.63605,995.22607,70.38469
54.73269,995.23193,70.25126
55.27629,995.22852,70.38469
55.76855,995.21948,70.08447
55.9437,995.20728,70.05112
56.02222,995.20654,69.91769
56.29402,995.20166,70.2179
56.11282,995.19678,70.2179
56.35744,995.19263,70.2179
56.32724,995.19507,70.41804
56.5477,995.18774,70.38469
56.42388,995.18042,70.51811
56.7742,995.17603,70.61818
56.83158,995.17725,70.75161
56.57488,995.18091,71.08517
57.05807,995.177,71.05182
55.98598,995.17822,71.48545
56.5175,995.18091,72.01916
56.63528,995.18213,71.85238
56.90104,995.18311,71.75231
57.25135,995.18579,71.75231
57.43557,995.18091,71.88573
57.46879,995.17871,71.68559
57.40235,995.1792,72.55287
57.84629,995.18042,72.65294
57.97615,995.17285,72.65294
58.26003,995.16577,72.58622
58.87006,995.16772,72.31937
59.24152,995.15747,72.18594
59.6009,995.15454,72.61958
59.80022,995.14697,72.51951
60.51595,995.15137,72.85308
61.00821,995.14551,73.22
63.63861,995.14209,75.4549
64.34528,995.14893,75.72175
64.55668,995.15796,75.25475
64.92512,995.15601,74.68769
65.41435,995.15112,75.25475
66.04855,995.14453,75.35482
66.15727,995.13281,75.25475
66.24485,995.13159,74.25406
66.32639,995.12549,74.08727
66.41397,995.13354,73.65364
66.34451,995.12988,73.65364
66.68275,995.1438,73.55356
66.92435,995.14185,73.28671
67.32298,995.14893,73.32007
67.82732,995.14722,73.48685
67.7639,995.13745,73.48685
68.64272,995.13794,73.68699
68.89035,995.13892,73.62028
69.07457,995.14233,73.55356
69.58192,995.1416,73.58692
70.06512,995.1311,73.85378
70.2735,995.14136,74.08727
70.7869,995.15625,74.35412
70.79294,995.1499,74.12063
71.05869,995.15405,74.05392
71.55397,995.15039,74.15398
71.91637,995.14575,74.25406
72.09756,995.13477,74.52091
72.21535,995.12695,74.65434
72.617,995.13257,74.7544
72.91599,995.14038,74.65434
72.91599,995.14062,74.28741
73.2361,995.15063,74.55426
74.37766,995.16211,74.55426
74.87292,995.17212,74.85448
75.09036,995.17432,74.68769
75.23834,995.17065,74.38748
75.58866,995.17554,74.35412
75.54034,995.18652,74.2207
76.66679,995.18408,75.38818
77.37045,995.17261,75.78846
77.18623,995.1687,75.78846
77.38555,995.16797,75.65503
78.27342,995.1582,75.88853
79.23378,995.15234,76.95594
79.24888,995.14355,76.28881
81.18771,995.1499,77.2228
81.25716,995.15869,76.92259
81.02764,995.1543,76.32217
80.96725,995.15991,75.88853
80.68941,995.15698,75.58832
80.73772,995.16797,75.58832
81.1273,995.16821,75.28811
82.13296,995.16309,76.32217
83.13559,995.1543,77.12273
84.55196,995.13696,78.35692
85.03818,995.12598,78.25685
84.8902,995.12695,77.78986
84.4221,995.12231,76.92259
84.20768,995.12158,76.85587
83.98119,995.13062,76.18874
83.52215,995.14404,76.02196
83.42551,995.15381,75.95524
83.40739,995.15796,75.92189
83.56744,995.16187,76.02196
83.82112,995.16797,76.2221
84.08084,995.16748,76.28881
84.01743,995.17554,76.18874
84.3164,995.1792,76.15538
84.61538,995.18018,75.92189
84.40398,995.18408,75.92189
84.47042,995.17969,75.62168
84.95663,995.18872,75.7551
84.77242,995.18213,75.65503
85.06233,995.17822,75.58832
85.06535,995.18896,75.62168
85.37037,995.19214,75.82182
85.46701,995.19849,75.65503
85.57875,995.18628,75.95524
85.88377,995.19238,75.85518
87.53872,995.18188,77.68979
88.01889,995.18335,77.88993
87.61723,995.18115,77.35622
87.1733,995.18188,77.08937
86.6901,995.20459,76.48895
86.92566,995.21069,76.25545
86.85922,995.23071,76.25545
87.29108,995.2373,76.05531
87.43906,995.25635,76.15538
87.57798,995.26611,76.02196
87.62328,995.25928,75.95524
87.77126,995.25024,75.88853
87.82259,995.23071,75.85518
87.99776,995.21924,75.85518
87.96755,995.20874,75.85518
88.02795,995.20483,75.95524
88.29975,995.19116,75.72175
88.21217,995.19214,75.85518
88.35411,995.20068,75.92189
88.26955,995.19409,75.72175
88.71953,995.19189,75.9886
88.70141,995.18457,76.02196
88.89167,995.19458,75.88853
88.93697,995.19653,76.02196
88.92187,995.20459,75.92189
88.95509,995.20947,75.9886
89.25709,995.21167,76.12203
89.21178,995.21387,76.05531
89.47754,995.21484,75.95524
89.28124,995.2229,76.15538
89.55003,995.21387,75.9886
89.74934,995.21973,76.15538
89.74632,995.21997,75.82182
90.17516,995.21826,75.92189
89.9094,995.21143,75.95524
89.95168,995.19751,75.78846
89.95772,995.20117,75.88853
89.8339,995.19849,75.72175
90.0151,995.20654,75.7551
89.73424,995.21753,75.82182
89.59532,995.22729,75.68839
89.5772,995.23755,75.72175
89.51982,995.23926,75.65503
89.37486,995.24756,75.82182
89.25105,995.2395,75.78846
88.96113,995.2356,75.7551
88.49303,995.22437,75.72175
88.09741,995.22754,75.62168
87.91017,995.22266,75.65503
87.60213,995.2207,75.82182
87.45718,995.23047,75.42154
87.04646,995.23535,75.62168
86.36999,995.23242,75.72175
85.1318,995.22803,75.55496
84.76034,995.2168,75.65503
84.12916,995.2146,75.4549
83.44967,995.20947,75.55496
