Humidity(%rH),Pressure(mb),Temperature(F)
54.85047,995.13184,69.51741
54.90181,995.12915,69.71755
54.95919,995.12549,69.61748
55.19475,995.12329,69.61748
55.04375,995.12671,69.65084
54.68739,995.12109,69.58413
54.94711,995.10693,69.55077
54.70551,995.10327,69.61748
54.66021,995.10571,69.65084
54.95315,995.10229,69.71755
54.91691,995.09473,69.61748
55.14039,995.09692,69.65084
54.83235,995.10596,69.55077
54.93503,995.10693,69.6842
54.83537,995.10181,70.11783
55.19777,995.09668,70.35133
54.79611,995.10571,71.01846
54.92597,995.11743,71.08517
55.03771,995.13232,71.41874
55.18871,995.14136,71.51881
55.18871,995.15283,71.48545
54.90785,995.15771,71.78567
54.94107,995.15088,71.71895
55.15549,995.13184,71.91909
54.96221,995.13354,72.2193
54.90483,995.13232,72.31937
54.93805,995.14038,72.41944
55.10415,995.14429,72.71965
54.79611,995.1499,72.71965
54.70551,995.15674,73.05322
54.66927,995.15723,73.18664
54.69343,995.15405,72.85308
54.59679,995.14038,73.18664
54.57565,995.1333,73.4535
54.88671,995.13672,73.52021
54.57867,995.15332,73.7537
54.62699,995.16602,73.88713
54.50922,995.15918,74.15398
54.63303,995.15674,74.52091
54.84745,995.14575,74.85448
54.5062,995.13281,75.05462
54.64209,995.10474,75.08797
54.50015,995.0708,75.05462
54.52734,995.06421,75.05462
54.45787,995.0686,75.2214
54.30386,995.05176,75.7551
54.21326,995.05469,75.85518
54.25856,995.0647,75.9886
54.25554,995.07373,76.15538
54.39748,995.07935,76.35552
54.14078,995.07666,76.48895
54.31895,995.10327,76.85587
54.174,995.10791,76.82252
54.0683,995.10596,77.02266
54.00488,995.10571,77.08937
53.93844,995.10498,76.9893
53.92334,995.10449,77.2228
53.95656,995.1001,77.32287
53.92032,995.09692,77.55636
53.86294,995.08936,77.58972
53.62738,995.09546,77.92329
53.71496,995.09033,78.05671
53.24082,995.09497,78.02336
53.69382,995.09424,78.2235
53.75422,995.104,78.49035
53.39182,995.11133,78.42364
53.45524,995.11182,78.52371
53.18042,995.11523,78.62378
53.08379,995.11377,78.82392
53.08076,995.1084,78.85727
52.81501,995.10083,79.12412
53.10191,995.08838,79.15748
52.76065,995.08569,79.35762
52.9509,995.06616,79.2242
53.03848,995.05908,79.49105
52.97507,995.05688,79.65783
52.75763,995.05322,79.95804
51.88183,995.07544,80.09147
52.81501,995.09912,80.19154
52.50093,995.11792,80.15818
52.52811,995.14282,80.25825
52.45261,995.16846,80.45839
52.21403,995.18726,80.55846
52.38617,995.19824,80.62517
52.15967,995.2002,80.69189
52.36201,995.20752,81.09217
52.07511,995.20386,81.12552
51.99357,995.20898,81.02545
52.00263,995.21216,81.19224
51.98451,995.21631,81.09217
51.84258,995.21265,81.25895
51.77915,995.22095,81.42573
51.72781,995.229,81.55916
51.66138,995.22681,81.55916
51.45904,995.21948,81.7593
51.56776,995.22705,81.7593
51.49226,995.23389,81.82601
51.16308,995.21899,82.09287
51.44394,995.21338,82.02615
51.33522,995.20898,82.32636
51.19932,995.20728,82.29301
51.30502,995.2019,82.22629
50.83088,995.19849,82.49315
50.849,995.20093,82.42643
50.9245,995.20483,82.59322
50.55606,995.21777,82.5265
50.83692,995.21777,82.86007
50.7584,995.22388,82.69329
50.36882,995.22485,82.79336
50.71612,995.22778,82.82671
50.76142,995.21509,82.79336
50.24802,995.19727,82.92678
50.17554,995.18115,82.86007
50.04266,995.17651,83.09357
50.15742,995.18286,83.2937
49.95811,995.18359,83.26035
49.74369,995.18481,83.26035
49.89469,995.20752,83.42713
49.93697,995.22485,83.26035
49.78899,995.22754,83.39378
49.33901,995.24268,83.49385
49.71953,995.24463,83.49385
49.51719,995.25854,83.46049
49.48397,995.26294,83.46049
49.26049,995.2793,83.42713
49.15781,995.28613,83.62727
49.33297,995.27148,83.7607
49.35109,995.27368,83.69398
49.10647,995.26416,83.86077
48.91017,995.2688,83.69398
48.93131,995.26294,83.86077
49.08533,995.26562,84.02755
49.08533,995.28003,84.02755
48.81957,995.28931,84.09426
48.83467,995.29883,84.36112
48.72294,995.3103,84.36112
48.51758,995.30859,84.32776
48.62025,995.2998,84.49454
48.42396,995.27832,84.49454
48.19142,995.26538,84.46119
48.48436,995.25171,84.49454
48.45415,995.23169,84.56126
48.17028,995.23145,84.66133
48.17632,995.22681,84.56126
48.23068,995.23462,84.62797
47.9015,995.25,84.5279
47.8411,995.25439,84.79476
47.81392,995.2583,84.69469
47.85016,995.24658,84.56126
47.72332,995.24902,84.89482
47.69614,995.25024,84.96154
47.54816,995.25366,84.92818
47.54514,995.24414,84.89482
47.43642,995.24194,85.02825
47.67802,995.23364,84.96154
47.32771,995.20825,84.66133
47.07705,995.18384,84.39448
47.36395,995.15283,84.29441
47.27939,995.14062,84.26105
46.89887,995.11743,84.12762
47.11329,995.12451,84.12762
46.91699,995.13428,83.86077
46.87169,995.12671,83.89413
46.56667,995.1377,83.92748
46.66633,995.12695,83.86077
46.85055,995.12134,83.92748
46.66633,995.12036,83.7607
46.83847,995.11426,83.66063
46.66029,995.12573,83.86077
46.63009,995.12598,83.62727
46.48211,995.13574,83.69398
46.48211,995.14575,83.62727
46.46097,995.14771,83.59392
46.63009,995.1394,83.62727
46.58177,995.14209,83.5272
46.36735,995.13184,83.5272
46.30393,995.13647,83.66063
46.30393,995.1333,83.39378
46.34319,995.12524,83.59392
46.58479,995.12109,83.42713
46.29487,995.11914,83.49385
46.11971,995.13184,83.42713
46.16199,995.13037,83.32706
45.83282,995.12476,83.22699
45.93851,995.12891,83.12692
45.89624,995.13477,83.12692
45.95966,995.13989,83.26035
46.08952,995.13062,83.02685
46.01402,995.12769,83.32706
45.89925,995.12695,83.09357
45.72108,995.13672,83.02685
46.02911,995.13989,82.86007
45.67578,995.13525,83.06021
45.84188,995.1311,83.09357
45.61236,995.12378,82.9935
45.65162,995.12842,83.12692
45.7543,995.12915,82.89342
45.47646,995.12451,82.89342
45.59122,995.12915,83.09357
45.63048,995.13672,82.86007
